Date,open,high,low,close,volume
2009-01-29 00:00:00+05:30,144.36,144.36,120.54,122.18,2810081
2009-01-30 00:00:00+05:30,122.18,122.89,118.29,120.0,451424
2009-02-02 00:00:00+05:30,120.71,124.29,120.11,121.39,471455
2009-02-03 00:00:00+05:30,122.07,122.75,119.29,121.14,458728
2009-02-04 00:00:00+05:30,121.43,123.36,120.04,121.43,88503
2009-02-05 00:00:00+05:30,120.75,123.21,119.64,121.46,697160
2009-02-06 00:00:00+05:30,122.86,123.18,120.71,122.5,74669
2009-02-09 00:00:00+05:30,122.75,124.71,121.43,123.75,74544
2009-02-10 00:00:00+05:30,125.0,127.68,123.21,125.07,114081
2009-02-11 00:00:00+05:30,120.93,126.07,120.71,125.0,305873
2009-02-12 00:00:00+05:30,125.71,125.71,122.68,124.25,945267
2009-02-13 00:00:00+05:30,125.71,127.14,125.0,125.75,67683
2009-02-16 00:00:00+05:30,127.14,127.71,121.79,122.18,51781
2009-02-17 00:00:00+05:30,122.79,122.79,115.07,115.89,1560206
2009-02-18 00:00:00+05:30,114.32,118.39,111.61,117.89,110283
2009-02-19 00:00:00+05:30,118.18,120.36,117.14,117.46,23791
2009-02-20 00:00:00+05:30,116.79,117.0,114.25,114.54,465757
2009-02-24 00:00:00+05:30,112.86,115.71,111.46,113.36,51079
2009-02-25 00:00:00+05:30,116.36,116.36,113.79,114.21,33878
2009-02-26 00:00:00+05:30,114.29,114.29,107.86,110.5,290852
2009-02-27 00:00:00+05:30,112.0,112.86,110.11,111.5,14166
2009-03-02 00:00:00+05:30,111.43,111.75,107.43,111.14,250045
2009-03-03 00:00:00+05:30,108.93,111.43,107.14,109.36,804711
2009-03-04 00:00:00+05:30,107.57,111.29,107.57,110.39,244358
2009-03-05 00:00:00+05:30,109.29,111.32,109.29,110.0,155979
2009-03-06 00:00:00+05:30,109.14,111.79,108.0,109.07,20358
2009-03-09 00:00:00+05:30,110.71,110.71,105.86,107.54,754324
2009-03-12 00:00:00+05:30,110.68,111.07,105.89,107.07,32057
2009-03-13 00:00:00+05:30,107.54,109.64,107.5,109.07,49484
2009-03-16 00:00:00+05:30,110.71,113.5,110.0,111.57,41678
2009-03-17 00:00:00+05:30,112.86,119.75,112.5,114.07,167463
2009-03-18 00:00:00+05:30,115.75,117.86,115.39,116.43,44322
2009-03-19 00:00:00+05:30,116.07,121.75,115.43,118.93,368258
2009-03-20 00:00:00+05:30,119.36,121.43,117.86,118.64,63572
2009-03-23 00:00:00+05:30,120.0,124.64,116.5,122.14,101838
2009-03-24 00:00:00+05:30,124.29,126.43,120.0,121.43,50965
2009-03-25 00:00:00+05:30,121.43,121.43,118.68,120.21,41343
2009-03-26 00:00:00+05:30,120.39,129.93,120.39,128.32,277989
2009-03-27 00:00:00+05:30,130.71,132.14,126.36,128.75,49995
2009-03-30 00:00:00+05:30,127.14,129.82,126.11,129.25,44360
2009-03-31 00:00:00+05:30,129.07,134.5,128.25,132.14,797325
2009-04-01 00:00:00+05:30,130.29,133.57,129.32,130.14,28828
2009-04-02 00:00:00+05:30,132.14,137.14,125.0,133.54,255185
2009-04-06 00:00:00+05:30,135.71,139.29,129.36,130.36,83643
2009-04-08 00:00:00+05:30,131.46,136.39,126.61,134.46,82926
2009-04-09 00:00:00+05:30,135.71,145.29,135.04,142.82,244995
2009-04-13 00:00:00+05:30,144.29,147.64,140.79,142.04,170472
2009-04-15 00:00:00+05:30,139.32,147.68,139.32,142.14,1302285
2009-04-16 00:00:00+05:30,144.21,150.0,140.89,143.11,182996
2009-04-17 00:00:00+05:30,142.86,154.29,142.36,149.57,434593
2009-04-20 00:00:00+05:30,152.86,156.93,150.11,154.0,258487
2009-04-21 00:00:00+05:30,147.93,155.25,147.93,153.11,276456
2009-04-22 00:00:00+05:30,150.79,157.07,144.39,145.57,136161
2009-04-23 00:00:00+05:30,145.07,150.71,142.93,148.71,82684
2009-04-24 00:00:00+05:30,147.21,153.57,146.18,150.54,53943
2009-04-27 00:00:00+05:30,152.86,153.5,147.14,149.86,128763
2009-04-28 00:00:00+05:30,150.0,151.61,140.43,142.21,25436
2009-04-29 00:00:00+05:30,145.0,147.18,143.61,144.46,47413
2009-05-04 00:00:00+05:30,147.14,150.0,142.32,148.39,221776
2009-05-05 00:00:00+05:30,149.29,154.11,149.29,151.36,166744
2009-05-06 00:00:00+05:30,150.21,156.14,150.21,151.61,80137
2009-05-07 00:00:00+05:30,153.57,155.71,152.96,154.54,194446
2009-05-08 00:00:00+05:30,155.54,160.29,153.32,158.75,322726
2009-05-11 00:00:00+05:30,160.79,164.0,152.86,153.39,38833
2009-05-12 00:00:00+05:30,154.79,166.43,150.07,159.68,95669
2009-05-13 00:00:00+05:30,157.14,159.14,152.14,152.96,233933
2009-05-14 00:00:00+05:30,152.14,159.29,150.07,152.54,142203
2009-05-15 00:00:00+05:30,154.29,155.68,152.21,153.11,55882
2009-05-18 00:00:00+05:30,175.0,175.0,175.0,175.0,280
2009-05-19 00:00:00+05:30,164.29,187.86,155.04,182.96,355661
2009-05-20 00:00:00+05:30,171.43,197.14,171.43,193.04,321724
2009-05-21 00:00:00+05:30,194.29,210.71,187.86,199.89,251930
2009-05-22 00:00:00+05:30,200.0,200.0,182.5,185.07,1352092
2009-05-25 00:00:00+05:30,192.07,192.32,182.32,183.21,406456
2009-05-26 00:00:00+05:30,185.71,189.57,176.61,180.14,920028
2009-05-27 00:00:00+05:30,192.57,200.0,186.07,187.25,1405653
2009-05-28 00:00:00+05:30,192.71,192.71,185.71,186.93,653625
2009-05-29 00:00:00+05:30,190.43,202.71,187.25,197.54,952782
2009-06-01 00:00:00+05:30,203.36,203.36,191.07,191.71,814095
2009-06-02 00:00:00+05:30,195.71,196.21,180.39,185.46,613688
2009-06-03 00:00:00+05:30,185.75,189.18,182.29,185.71,330029
2009-06-04 00:00:00+05:30,187.5,194.29,185.04,189.43,758728
2009-06-05 00:00:00+05:30,195.0,202.68,194.29,195.89,777714
2009-06-08 00:00:00+05:30,196.43,200.71,186.21,189.25,270302
2009-06-09 00:00:00+05:30,189.25,200.0,185.71,198.46,324903
2009-06-10 00:00:00+05:30,201.5,213.54,200.89,205.0,675033
2009-06-11 00:00:00+05:30,205.18,207.14,197.96,204.36,182782
2009-06-12 00:00:00+05:30,204.29,207.75,196.11,199.61,157988
2009-06-15 00:00:00+05:30,203.57,203.57,197.32,199.89,132084
2009-06-16 00:00:00+05:30,196.43,201.43,193.21,200.64,66234
2009-06-17 00:00:00+05:30,200.39,204.29,193.64,197.64,177727
2009-06-18 00:00:00+05:30,197.79,202.71,184.39,188.57,190902
2009-06-19 00:00:00+05:30,186.82,195.0,184.43,188.86,53919
2009-06-22 00:00:00+05:30,188.64,192.71,185.71,185.82,84942
2009-06-23 00:00:00+05:30,182.86,189.25,181.43,188.43,135728
2009-06-24 00:00:00+05:30,189.29,195.0,185.75,192.21,86888
2009-06-25 00:00:00+05:30,192.86,198.57,189.82,192.32,214361
2009-06-26 00:00:00+05:30,194.18,199.29,191.46,198.11,114226
2009-06-29 00:00:00+05:30,200.0,209.89,197.89,206.79,126019
2009-06-30 00:00:00+05:30,205.71,209.29,197.29,198.68,59686
2009-07-01 00:00:00+05:30,201.25,201.43,192.93,199.93,31782
2009-07-02 00:00:00+05:30,200.0,200.04,195.71,197.39,29661
2009-07-03 00:00:00+05:30,196.43,198.54,193.0,194.5,80238
2009-07-06 00:00:00+05:30,197.86,202.86,185.21,186.71,90865
2009-07-07 00:00:00+05:30,187.14,190.71,184.29,186.36,211820
2009-07-08 00:00:00+05:30,185.64,187.14,176.54,178.75,49522
2009-07-09 00:00:00+05:30,178.57,182.07,175.86,177.75,26255
2009-07-10 00:00:00+05:30,179.29,184.25,177.14,180.36,57006
2009-07-13 00:00:00+05:30,178.57,178.57,167.93,171.29,58928
2009-07-14 00:00:00+05:30,176.79,177.82,171.5,175.93,123765
2009-07-15 00:00:00+05:30,177.14,183.43,175.93,182.14,1321654
2009-07-16 00:00:00+05:30,185.71,190.64,179.29,180.61,289739
2009-07-17 00:00:00+05:30,181.43,186.29,178.11,179.0,558076
2009-07-20 00:00:00+05:30,181.43,184.21,178.64,179.82,332683
2009-07-21 00:00:00+05:30,181.43,188.86,179.64,187.11,413893
2009-07-22 00:00:00+05:30,189.29,191.43,177.64,179.93,597734
2009-07-23 00:00:00+05:30,182.14,183.57,179.14,181.18,206386
2009-07-24 00:00:00+05:30,182.86,186.43,182.25,184.71,133550
2009-07-27 00:00:00+05:30,185.71,187.04,183.86,185.54,68048
2009-07-28 00:00:00+05:30,187.04,189.61,182.86,187.21,154840
2009-07-29 00:00:00+05:30,185.71,189.82,180.71,187.75,377766
2009-07-30 00:00:00+05:30,190.71,196.43,185.04,195.07,429861
2009-07-31 00:00:00+05:30,196.68,204.89,194.39,196.5,350973
2009-08-03 00:00:00+05:30,197.75,216.93,196.54,214.18,824560
2009-08-04 00:00:00+05:30,217.86,224.29,210.71,212.71,607583
2009-08-05 00:00:00+05:30,212.86,215.71,210.36,211.86,146342
2009-08-06 00:00:00+05:30,211.43,213.21,197.86,202.04,147810
2009-08-07 00:00:00+05:30,203.43,209.04,198.07,203.89,203544
2009-08-10 00:00:00+05:30,204.36,214.07,204.36,209.32,542351
2009-08-11 00:00:00+05:30,212.82,229.93,210.79,227.96,754254
2009-08-12 00:00:00+05:30,228.57,233.57,222.89,224.96,1335236
2009-08-13 00:00:00+05:30,225.0,240.71,225.0,236.46,894941
2009-08-14 00:00:00+05:30,235.71,242.68,231.43,240.96,571851
2009-08-17 00:00:00+05:30,238.36,247.86,230.11,233.68,435850
2009-08-18 00:00:00+05:30,237.21,239.14,228.57,234.18,235673
2009-08-19 00:00:00+05:30,235.0,238.14,220.04,225.71,462688
2009-08-20 00:00:00+05:30,231.32,232.5,220.75,222.11,377879
2009-08-21 00:00:00+05:30,228.57,228.57,219.21,222.86,526740
2009-08-24 00:00:00+05:30,225.11,239.29,222.5,236.32,621406
2009-08-25 00:00:00+05:30,237.14,237.86,230.04,234.57,680825
2009-08-26 00:00:00+05:30,235.14,241.71,234.64,238.54,336698
2009-08-27 00:00:00+05:30,235.71,238.57,229.29,232.5,441578
2009-08-28 00:00:00+05:30,229.29,247.86,224.18,239.54,447165
2009-08-31 00:00:00+05:30,239.25,245.04,236.46,242.11,288904
2009-09-01 00:00:00+05:30,242.86,248.21,236.79,244.54,465668
2009-09-02 00:00:00+05:30,246.43,249.64,235.89,237.11,439110
2009-09-03 00:00:00+05:30,239.29,246.43,234.43,236.0,457032
2009-09-04 00:00:00+05:30,237.86,241.29,233.07,235.71,132991
2009-09-07 00:00:00+05:30,237.21,241.32,236.43,237.07,262280
2009-09-08 00:00:00+05:30,240.0,246.07,238.79,240.46,450373
2009-09-09 00:00:00+05:30,240.0,244.29,238.57,238.89,213936
2009-09-10 00:00:00+05:30,244.29,244.29,238.96,239.46,302965
2009-09-11 00:00:00+05:30,241.29,242.0,233.89,234.89,88443
2009-09-14 00:00:00+05:30,235.71,245.61,231.79,243.25,272620
2009-09-15 00:00:00+05:30,242.89,266.79,242.89,263.25,951353
2009-09-16 00:00:00+05:30,266.43,266.43,253.96,257.29,583566
2009-09-17 00:00:00+05:30,263.57,274.0,255.71,270.14,519096
2009-09-18 00:00:00+05:30,267.57,270.0,258.61,260.61,331804
2009-09-22 00:00:00+05:30,261.43,269.32,260.71,266.11,183253
2009-09-23 00:00:00+05:30,267.18,267.82,260.07,264.68,339243
2009-09-24 00:00:00+05:30,260.71,267.0,239.07,260.04,659856
2009-09-25 00:00:00+05:30,259.71,264.11,255.07,256.25,146391
2009-09-29 00:00:00+05:30,260.0,260.0,250.07,251.18,240315
2009-09-30 00:00:00+05:30,255.71,260.0,248.21,249.68,413722
2009-10-01 00:00:00+05:30,247.14,253.5,237.32,251.18,208339
2009-10-05 00:00:00+05:30,252.14,257.0,247.18,248.64,345595
2009-10-06 00:00:00+05:30,252.14,252.86,243.36,251.39,418287
2009-10-07 00:00:00+05:30,252.14,256.39,247.93,250.18,411296
2009-10-08 00:00:00+05:30,255.71,261.89,252.86,259.5,414556
2009-10-09 00:00:00+05:30,260.71,265.61,258.11,260.0,219774
2009-10-12 00:00:00+05:30,258.04,267.5,258.04,266.14,243842
2009-10-14 00:00:00+05:30,265.71,275.0,265.71,273.11,459330
2009-10-15 00:00:00+05:30,275.71,285.0,268.32,279.14,501312
2009-10-16 00:00:00+05:30,271.43,280.68,269.54,271.68,118007
2009-10-17 00:00:00+05:30,275.0,276.18,269.29,273.89,20139
2009-10-20 00:00:00+05:30,271.57,277.64,267.14,269.21,123256
2009-10-21 00:00:00+05:30,271.43,273.21,265.75,267.64,62307
2009-10-22 00:00:00+05:30,267.86,271.43,265.14,267.39,160071
2009-10-23 00:00:00+05:30,268.07,269.93,262.93,268.18,73004
2009-10-26 00:00:00+05:30,268.04,269.61,263.57,267.25,108155
2009-10-27 00:00:00+05:30,265.96,267.36,255.82,261.93,185899
2009-10-28 00:00:00+05:30,262.86,262.86,257.32,261.32,71626
2009-10-29 00:00:00+05:30,257.86,270.32,255.89,265.07,327525
