Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2009-11-13 00:00:00+05:30,261.45,267.4,256.35,258.18,308080,False,0,,False
2009-11-16 00:00:00+05:30,258.5,270.48,258.5,264.93,391138,False,0,,False
2009-11-17 00:00:00+05:30,269.75,274.48,260.0,260.6,341594,False,0,,False
2009-11-18 00:00:00+05:30,271.35,274.25,258.5,262.2,315010,False,0,,False
2009-11-19 00:00:00+05:30,265.0,269.5,257.63,259.78,264678,False,0,,False
2009-11-20 00:00:00+05:30,262.5,269.75,260.48,264.15,261730,False,0,,False
2009-11-23 00:00:00+05:30,264.5,276.0,264.5,273.43,324582,False,0,,False
2009-11-24 00:00:00+05:30,276.35,286.5,276.35,285.2,320950,False,0,,False
2009-11-25 00:00:00+05:30,287.5,294.5,285.0,287.65,248458,False,0,,False
2009-11-26 00:00:00+05:30,285.0,285.9,280.2,283.63,198406,False,0,,False
2009-11-27 00:00:00+05:30,284.8,284.8,270.05,279.13,195916,False,0,,False
2009-11-30 00:00:00+05:30,279.0,280.0,272.63,279.63,183668,False,0,,False
2009-12-01 00:00:00+05:30,279.75,291.0,279.2,285.35,210514,False,0,,False
2009-12-02 00:00:00+05:30,287.5,289.5,282.5,284.3,159606,False,0,,False
2009-12-03 00:00:00+05:30,284.5,288.5,283.25,285.28,164748,False,0,,False
2009-12-04 00:00:00+05:30,285.53,285.53,255.0,266.88,494062,False,0,,False
2009-12-07 00:00:00+05:30,267.0,271.45,264.5,264.95,379628,False,0,,False
2009-12-08 00:00:00+05:30,269.0,271.5,264.5,265.08,152738,False,0,,False
2009-12-09 00:00:00+05:30,266.5,267.5,263.0,264.9,181834,False,0,,False
2009-12-10 00:00:00+05:30,265.75,266.0,261.75,263.5,186020,False,0,,False
2009-12-11 00:00:00+05:30,265.18,269.43,262.45,263.25,124704,False,0,,False
2009-12-14 00:00:00+05:30,264.6,265.0,252.5,254.33,134084,False,0,,False
2009-12-15 00:00:00+05:30,254.5,256.68,251.5,253.48,132316,False,0,,False
2009-12-16 00:00:00+05:30,258.5,258.5,244.05,245.48,130850,False,0,,False
2009-12-17 00:00:00+05:30,249.88,249.88,244.33,245.35,109072,False,0,,False
2009-12-18 00:00:00+05:30,246.5,248.5,245.0,245.63,132422,False,0,,False
2009-12-21 00:00:00+05:30,245.75,246.3,244.38,245.0,178572,False,0,,False
2009-12-22 00:00:00+05:30,244.0,247.9,240.3,241.68,96368,False,0,,False
2009-12-23 00:00:00+05:30,245.0,254.75,242.25,250.98,106720,False,0,,False
2009-12-24 00:00:00+05:30,252.28,267.18,251.03,259.88,108960,False,0,,False
2009-12-29 00:00:00+05:30,257.63,276.0,253.03,270.45,143266,False,0,,False
2009-12-30 00:00:00+05:30,272.5,275.5,264.25,270.35,180228,False,0,,False
2009-12-31 00:00:00+05:30,273.75,322.0,265.0,291.83,239170,False,0,,False
2010-01-04 00:00:00+05:30,292.0,306.93,267.65,274.5,100466,False,0,,False
2010-01-05 00:00:00+05:30,275.5,280.0,257.5,258.68,107802,False,0,,False
2010-01-06 00:00:00+05:30,261.98,268.0,254.5,260.23,107798,False,0,,False
2010-01-07 00:00:00+05:30,261.0,267.0,259.28,261.6,97878,False,0,,False
2010-01-08 00:00:00+05:30,264.95,271.38,259.18,263.9,97760,False,0,,False
2010-01-11 00:00:00+05:30,265.78,279.0,260.78,264.05,110128,False,0,,False
2010-01-12 00:00:00+05:30,265.0,267.4,258.2,259.98,91650,False,0,,False
2010-01-13 00:00:00+05:30,264.0,264.0,250.05,258.8,109770,False,0,,False
2010-01-14 00:00:00+05:30,264.9,264.9,255.0,255.6,119358,False,0,,False
2010-01-15 00:00:00+05:30,257.5,262.5,255.03,256.23,95496,False,0,,False
2010-01-18 00:00:00+05:30,257.0,271.7,256.0,267.5,123630,False,0,,False
2010-01-19 00:00:00+05:30,271.0,278.0,262.35,262.95,165508,False,0,,False
2010-01-20 00:00:00+05:30,269.5,273.4,262.5,264.85,110648,False,0,,False
2010-01-21 00:00:00+05:30,264.0,266.45,254.0,255.15,120042,False,0,,False
2010-01-22 00:00:00+05:30,255.0,259.0,250.23,255.53,114640,False,0,,False
2010-01-25 00:00:00+05:30,255.5,271.5,254.5,265.25,105390,False,0,,False
2010-01-27 00:00:00+05:30,269.5,269.5,245.15,254.7,106794,False,0,,False
2010-01-28 00:00:00+05:30,260.0,260.98,245.03,247.38,100578,False,0,,False
2010-01-29 00:00:00+05:30,246.5,256.23,245.35,252.98,102372,False,0,,False
2010-02-01 00:00:00+05:30,255.23,259.4,247.48,249.05,89452,False,0,,False
2010-02-02 00:00:00+05:30,250.75,254.43,240.03,242.98,134656,False,0,,False
2010-02-03 00:00:00+05:30,245.0,245.0,240.03,243.68,109912,False,0,,False
2010-02-04 00:00:00+05:30,241.75,250.0,241.25,245.45,99328,False,0,,False
2010-02-05 00:00:00+05:30,242.5,246.18,240.5,241.45,84026,False,0,,False
2010-02-06 00:00:00+05:30,243.0,243.2,242.5,243.03,21020,False,0,,False
2010-02-08 00:00:00+05:30,242.5,246.43,242.0,243.35,87326,False,0,,False
2010-02-09 00:00:00+05:30,244.9,252.5,242.2,243.18,90344,False,0,,False
2010-02-10 00:00:00+05:30,242.55,246.25,242.0,243.43,83494,False,0,,False
2010-02-11 00:00:00+05:30,244.5,246.9,242.6,245.68,99796,False,0,,False
2010-02-15 00:00:00+05:30,249.75,252.23,245.0,246.35,103584,False,0,,False
2010-02-16 00:00:00+05:30,245.05,282.4,245.05,270.75,358316,False,0,,False
2010-02-17 00:00:00+05:30,270.5,273.0,267.7,271.48,124486,False,0,,False
2010-02-18 00:00:00+05:30,267.5,277.5,257.5,271.38,102564,False,0,,False
2010-02-19 00:00:00+05:30,272.5,277.43,270.0,273.85,105524,False,0,,False
2010-02-22 00:00:00+05:30,274.0,277.0,262.0,273.38,106566,False,0,,False
2010-02-23 00:00:00+05:30,282.0,282.0,271.5,274.85,98522,False,0,,False
2010-02-24 00:00:00+05:30,274.73,276.5,272.2,274.6,86950,False,0,,False
2010-02-25 00:00:00+05:30,275.18,281.0,267.75,275.7,89740,False,0,,False
2010-02-26 00:00:00+05:30,275.0,294.5,272.25,286.03,128890,False,0,,False
2010-03-02 00:00:00+05:30,271.0,289.5,271.0,282.53,105102,False,0,,False
2010-03-03 00:00:00+05:30,280.25,286.13,276.63,283.65,100580,False,0,,False
2010-03-04 00:00:00+05:30,282.5,289.75,280.0,283.08,96424,False,0,,False
2010-03-05 00:00:00+05:30,284.93,285.58,283.25,284.98,89460,False,0,,False
2010-03-08 00:00:00+05:30,287.5,289.75,285.75,287.2,109302,False,0,,False
2010-03-09 00:00:00+05:30,285.0,297.5,285.0,287.6,91648,False,0,,False
2010-03-10 00:00:00+05:30,289.38,302.5,289.0,290.38,106330,False,0,,False
2010-03-11 00:00:00+05:30,298.78,302.25,287.5,293.85,104220,False,0,,False
2010-03-12 00:00:00+05:30,277.5,299.48,277.5,293.25,178634,False,0,,False
2010-03-15 00:00:00+05:30,296.0,297.5,285.28,293.08,142580,False,0,,False
2010-03-16 00:00:00+05:30,291.5,293.25,287.58,292.28,109592,False,0,,False
2010-03-17 00:00:00+05:30,293.25,299.0,280.5,291.6,104834,False,0,,False
2010-03-18 00:00:00+05:30,290.03,292.2,289.75,291.68,91656,False,0,,False
2010-03-19 00:00:00+05:30,287.58,293.25,280.25,291.73,98718,False,0,,False
2010-03-22 00:00:00+05:30,289.85,305.0,289.85,294.1,103734,False,0,,False
2010-03-23 00:00:00+05:30,293.25,293.25,283.0,288.1,109632,False,0,,False
2010-03-25 00:00:00+05:30,282.0,296.95,280.2,292.98,202462,False,0,,False
2010-03-26 00:00:00+05:30,291.75,310.6,288.13,293.0,228198,False,0,,False
2010-03-29 00:00:00+05:30,298.4,298.4,281.6,290.8,165980,False,0,,False
2010-03-30 00:00:00+05:30,298.0,300.13,280.0,287.0,152804,False,0,,False
2010-03-31 00:00:00+05:30,287.0,291.75,282.65,290.45,90642,False,0,,False
2010-04-01 00:00:00+05:30,284.9,293.63,281.0,292.6,138652,False,0,,False
2010-04-05 00:00:00+05:30,292.5,293.0,285.75,292.75,90316,False,0,,False
2010-04-06 00:00:00+05:30,282.0,307.5,282.0,293.58,281556,False,0,,False
2010-04-07 00:00:00+05:30,293.5,304.0,293.25,295.58,90696,False,0,,False
