Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,251.8,260.0,251.8,258.31,4159,False,0,,False
2008-04-01 00:00:00+05:30,250.2,263.0,250.2,260.01,869,False,0,,False
2008-04-02 00:00:00+05:30,260.0,268.0,256.0,263.33,1299,False,0,,False
2008-04-03 00:00:00+05:30,258.4,262.0,258.4,260.17,5969,False,0,,False
2008-04-04 00:00:00+05:30,263.7,263.7,258.0,260.0,11154,False,0,,False
2008-04-07 00:00:00+05:30,258.0,264.2,258.0,260.0,2294,False,0,,False
2008-04-08 00:00:00+05:30,258.62,270.4,258.62,266.15,2904,False,0,,False
2008-04-09 00:00:00+05:30,270.0,272.0,262.48,270.13,1094,False,0,,False
2008-04-10 00:00:00+05:30,270.0,271.0,266.22,270.0,774,False,0,,False
2008-04-11 00:00:00+05:30,271.6,276.0,270.2,273.0,749,False,0,,False
2008-04-15 00:00:00+05:30,270.2,272.0,270.0,270.79,1474,False,0,,False
2008-04-16 00:00:00+05:30,270.0,277.6,270.0,275.58,3859,False,0,,False
2008-04-17 00:00:00+05:30,274.0,282.0,274.0,276.4,2679,False,0,,False
2008-04-21 00:00:00+05:30,278.0,286.6,276.0,282.72,5209,False,0,,False
2008-04-22 00:00:00+05:30,280.0,289.0,280.0,286.43,1019,False,0,,False
2008-04-23 00:00:00+05:30,284.4,288.0,280.0,282.4,273839,False,0,,False
2008-04-24 00:00:00+05:30,283.2,290.0,283.2,286.33,4614,False,0,,False
2008-04-25 00:00:00+05:30,285.2,291.0,284.23,285.36,5499,False,0,,False
2008-04-28 00:00:00+05:30,283.21,286.79,283.0,283.22,51204,False,0,,False
2008-04-29 00:00:00+05:30,287.18,287.18,281.0,283.16,1469,False,0,,False
2008-04-30 00:00:00+05:30,292.2,292.2,281.42,283.0,519,False,0,,False
2008-05-02 00:00:00+05:30,282.22,287.37,282.0,284.67,1119,False,0,,False
2008-05-05 00:00:00+05:30,281.4,285.99,280.0,280.03,1584,False,0,,False
2008-05-06 00:00:00+05:30,280.2,285.8,280.0,280.0,6304,False,0,,False
2008-05-07 00:00:00+05:30,280.0,284.0,280.0,282.33,4029,False,0,,False
2008-05-08 00:00:00+05:30,282.0,285.0,280.0,283.05,1254,False,0,,False
2008-05-09 00:00:00+05:30,280.0,283.0,277.2,280.14,3704,False,0,,False
2008-05-12 00:00:00+05:30,280.0,280.8,277.02,280.41,294,False,0,,False
2008-05-13 00:00:00+05:30,300.0,300.0,274.02,278.63,2734,False,0,,False
2008-05-14 00:00:00+05:30,287.2,287.2,275.6,278.28,1499,False,0,,False
2008-05-15 00:00:00+05:30,276.0,285.8,274.2,279.69,4609,False,0,,False
2008-05-16 00:00:00+05:30,280.0,286.8,280.0,286.28,2434,False,0,,False
2008-05-20 00:00:00+05:30,280.2,285.0,280.2,284.75,1234,False,0,,False
2008-05-21 00:00:00+05:30,280.0,281.8,277.0,281.79,7409,False,0,,False
2008-05-22 00:00:00+05:30,276.01,284.96,276.01,283.39,884,False,0,,False
2008-05-23 00:00:00+05:30,280.0,289.8,277.4,283.44,6384,False,0,,False
2008-05-26 00:00:00+05:30,280.0,281.0,276.0,277.12,1169,False,0,,False
2008-05-27 00:00:00+05:30,273.2,279.98,273.2,275.24,3789,False,0,,False
